"No.","Time","Source","Destination","Protocol","Length","Length","Info"
"3","0.000024","167.7.2.3","167.7.4.2","TCP","74","","49153  >  http-alt(8080) [SYN] Seq=0 Win=65535 Len=0 TSval=1000 TSecr=0 WS=4 SACK_PERM=1"
"7","0.018336","167.7.2.3","167.7.4.2","TCP","70","","49153  >  http-alt(8080) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=1019 TSecr=1006"
"8","0.018344","167.7.2.3","167.7.4.2","TCP","606","","49153  >  http-alt(8080) [ACK] Seq=1 Ack=1 Win=131072 Len=536 TSval=1019 TSecr=1006"
"9","0.018410","167.7.2.3","167.7.4.2","TCP","606","","49153  >  http-alt(8080) [ACK] Seq=537 Ack=1 Win=131072 Len=536 TSval=1019 TSecr=1006"
"10","0.018472","167.7.2.3","167.7.4.2","TCP","606","","49153  >  http-alt(8080) [ACK] Seq=1073 Ack=1 Win=131072 Len=536 TSval=1019 TSecr=1006"
"11","0.018527","167.7.2.3","167.7.4.2","TCP","606","","49153  >  http-alt(8080) [ACK] Seq=1609 Ack=1 Win=131072 Len=536 TSval=1019 TSecr=1006"
"12","0.018586","167.7.2.3","167.7.4.2","TCP","606","","49153  >  http-alt(8080) [ACK] Seq=2145 Ack=1 Win=131072 Len=536 TSval=1019 TSecr=1006"
"13","0.018642","167.7.2.3","167.7.4.2","TCP","606","","49153  >  http-alt(8080) [ACK] Seq=2681 Ack=1 Win=131072 Len=536 TSval=1019 TSecr=1006"
"14","0.018699","167.7.2.3","167.7.4.2","TCP","606","","49153  >  http-alt(8080) [ACK] Seq=3217 Ack=1 Win=131072 Len=536 TSval=1019 TSecr=1006"
"15","0.018757","167.7.2.3","167.7.4.2","TCP","606","","49153  >  http-alt(8080) [ACK] Seq=3753 Ack=1 Win=131072 Len=536 TSval=1019 TSecr=1006"
"16","0.018816","167.7.2.3","167.7.4.2","TCP","606","","49153  >  http-alt(8080) [ACK] Seq=4289 Ack=1 Win=131072 Len=536 TSval=1019 TSecr=1006"
"17","0.018875","167.7.2.3","167.7.4.2","TCP","606","","49153  >  http-alt(8080) [ACK] Seq=4825 Ack=1 Win=131072 Len=536 TSval=1019 TSecr=1006"
"19","0.029925","167.7.2.3","167.7.4.2","TCP","606","","49153  >  http-alt(8080) [ACK] Seq=5361 Ack=1 Win=131072 Len=536 TSval=1030 TSecr=1023"
"20","0.029976","167.7.2.3","167.7.4.2","TCP","606","","49153  >  http-alt(8080) [ACK] Seq=5897 Ack=1 Win=131072 Len=536 TSval=1030 TSecr=1023"
"22","0.030070","167.7.2.3","167.7.4.2","TCP","606","","49153  >  http-alt(8080) [ACK] Seq=6433 Ack=1 Win=131072 Len=536 TSval=1031 TSecr=1024"
"23","0.030120","167.7.2.3","167.7.4.2","TCP","606","","49153  >  http-alt(8080) [ACK] Seq=6969 Ack=1 Win=131072 Len=536 TSval=1031 TSecr=1024"
"24","0.030177","167.7.2.3","167.7.4.2","TCP","606","","49153  >  http-alt(8080) [ACK] Seq=7505 Ack=1 Win=131072 Len=536 TSval=1031 TSecr=1024"
"25","0.030233","167.7.2.3","167.7.4.2","TCP","606","","49153  >  http-alt(8080) [ACK] Seq=8041 Ack=1 Win=131072 Len=536 TSval=1031 TSecr=1024"
"27","0.036451","167.7.2.3","167.7.4.2","TCP","606","","49153  >  http-alt(8080) [ACK] Seq=8577 Ack=1 Win=131072 Len=536 TSval=1037 TSecr=1028"
"28","0.036502","167.7.2.3","167.7.4.2","TCP","606","","49153  >  http-alt(8080) [ACK] Seq=9113 Ack=1 Win=131072 Len=536 TSval=1037 TSecr=1028"
"29","0.036561","167.7.2.3","167.7.4.2","TCP","606","","49153  >  http-alt(8080) [ACK] Seq=9649 Ack=1 Win=131072 Len=536 TSval=1037 TSecr=1028"
"30","0.036618","167.7.2.3","167.7.4.2","TCP","606","","49153  >  http-alt(8080) [ACK] Seq=10185 Ack=1 Win=131072 Len=536 TSval=1037 TSecr=1028"
"32","0.036831","167.7.2.3","167.7.4.2","TCP","606","","49153  >  http-alt(8080) [ACK] Seq=10721 Ack=1 Win=131072 Len=536 TSval=1037 TSecr=1028"
"33","0.036881","167.7.2.3","167.7.4.2","TCP","606","","49153  >  http-alt(8080) [ACK] Seq=11257 Ack=1 Win=131072 Len=536 TSval=1037 TSecr=1028"
