"No.","Time","Source","Destination","Protocol","Length","Length","Info"
"49","0.956792","167.7.3.4","167.7.4.2","TCP","138","","49153  >  http-alt(8080) [SYN] Seq=0 Win=65535 Len=0 TSval=1000 TSecr=0 WS=4 SACK_PERM=1"
"56","0.966154","167.7.3.4","167.7.4.2","TCP","136","","49153  >  http-alt(8080) [ACK] Seq=1 Ack=1 Win=131072 Len=0 TSval=1016 TSecr=1007"
"57","0.966154","167.7.3.4","167.7.4.2","TCP","672","","49153  >  http-alt(8080) [ACK] Seq=1 Ack=1 Win=131072 Len=536 TSval=1016 TSecr=1007"
"58","0.966154","167.7.3.4","167.7.4.2","TCP","672","","49153  >  http-alt(8080) [ACK] Seq=537 Ack=1 Win=131072 Len=536 TSval=1016 TSecr=1007"
"59","0.966154","167.7.3.4","167.7.4.2","TCP","672","","49153  >  http-alt(8080) [ACK] Seq=1073 Ack=1 Win=131072 Len=536 TSval=1016 TSecr=1007"
"60","0.966154","167.7.3.4","167.7.4.2","TCP","672","","49153  >  http-alt(8080) [ACK] Seq=1609 Ack=1 Win=131072 Len=536 TSval=1016 TSecr=1007"
"61","0.966154","167.7.3.4","167.7.4.2","TCP","672","","49153  >  http-alt(8080) [ACK] Seq=2145 Ack=1 Win=131072 Len=536 TSval=1016 TSecr=1007"
"62","0.966154","167.7.3.4","167.7.4.2","TCP","672","","49153  >  http-alt(8080) [ACK] Seq=2681 Ack=1 Win=131072 Len=536 TSval=1016 TSecr=1007"
"63","0.966154","167.7.3.4","167.7.4.2","TCP","672","","49153  >  http-alt(8080) [ACK] Seq=3217 Ack=1 Win=131072 Len=536 TSval=1016 TSecr=1007"
"64","0.966154","167.7.3.4","167.7.4.2","TCP","672","","49153  >  http-alt(8080) [ACK] Seq=3753 Ack=1 Win=131072 Len=536 TSval=1016 TSecr=1007"
"65","0.966154","167.7.3.4","167.7.4.2","TCP","672","","49153  >  http-alt(8080) [ACK] Seq=4289 Ack=1 Win=131072 Len=536 TSval=1016 TSecr=1007"
"66","0.966154","167.7.3.4","167.7.4.2","TCP","670","","49153  >  http-alt(8080) [ACK] Seq=4825 Ack=1 Win=131072 Len=536 TSval=1016 TSecr=1007"
"77","0.967171","167.7.3.4","167.7.4.2","TCP","672","","49153  >  http-alt(8080) [ACK] Seq=5361 Ack=1 Win=131072 Len=536 TSval=1017 TSecr=1016"
"78","0.967171","167.7.3.4","167.7.4.2","TCP","672","","49153  >  http-alt(8080) [ACK] Seq=5897 Ack=1 Win=131072 Len=536 TSval=1017 TSecr=1016"
"79","0.967171","167.7.3.4","167.7.4.2","TCP","672","","49153  >  http-alt(8080) [ACK] Seq=6433 Ack=1 Win=131072 Len=536 TSval=1017 TSecr=1016"
"80","0.967171","167.7.3.4","167.7.4.2","TCP","672","","49153  >  http-alt(8080) [ACK] Seq=6969 Ack=1 Win=131072 Len=536 TSval=1017 TSecr=1016"
"81","0.967171","167.7.3.4","167.7.4.2","TCP","672","","49153  >  http-alt(8080) [ACK] Seq=7505 Ack=1 Win=131072 Len=536 TSval=1017 TSecr=1016"
"82","0.967171","167.7.3.4","167.7.4.2","TCP","672","","49153  >  http-alt(8080) [ACK] Seq=8041 Ack=1 Win=131072 Len=536 TSval=1017 TSecr=1016"
"83","0.967171","167.7.3.4","167.7.4.2","TCP","672","","49153  >  http-alt(8080) [ACK] Seq=8577 Ack=1 Win=131072 Len=536 TSval=1017 TSecr=1017"
"84","0.967171","167.7.3.4","167.7.4.2","TCP","672","","49153  >  http-alt(8080) [ACK] Seq=9113 Ack=1 Win=131072 Len=536 TSval=1017 TSecr=1017"
"85","0.967171","167.7.3.4","167.7.4.2","TCP","672","","49153  >  http-alt(8080) [ACK] Seq=9649 Ack=1 Win=131072 Len=536 TSval=1017 TSecr=1017"
"86","0.967171","167.7.3.4","167.7.4.2","TCP","672","","49153  >  http-alt(8080) [ACK] Seq=10185 Ack=1 Win=131072 Len=536 TSval=1017 TSecr=1017"
"87","0.967171","167.7.3.4","167.7.4.2","TCP","672","","49153  >  http-alt(8080) [ACK] Seq=10721 Ack=1 Win=131072 Len=536 TSval=1017 TSecr=1017"
