"No.","Time","Source","Destination","Protocol","Length","Length","Info"
"4","0.000147","167.7.2.3","167.7.4.2","UDP","614","2048","49153  >  discard(9) Len=2048"
"10","0.999122","167.7.2.3","167.7.4.2","UDP","614","2048","49153  >  discard(9) Len=2048"
"14","1.999122","167.7.2.3","167.7.4.2","UDP","614","2048","49153  >  discard(9) Len=2048"
"18","2.999122","167.7.2.3","167.7.4.2","UDP","614","2048","49153  >  discard(9) Len=2048"
"22","3.999122","167.7.2.3","167.7.4.2","UDP","614","2048","49153  >  discard(9) Len=2048"
"26","4.999122","167.7.2.3","167.7.4.2","UDP","614","2048","49153  >  discard(9) Len=2048"
"30","5.999122","167.7.2.3","167.7.4.2","UDP","614","2048","49153  >  discard(9) Len=2048"
"34","6.999122","167.7.2.3","167.7.4.2","UDP","614","2048","49153  >  discard(9) Len=2048"
"38","7.999122","167.7.2.3","167.7.4.2","UDP","614","2048","49153  >  discard(9) Len=2048"
"42","8.999122","167.7.2.3","167.7.4.2","UDP","614","2048","49153  >  discard(9) Len=2048"
"46","9.999122","167.7.2.3","167.7.4.2","UDP","614","2048","49153  >  discard(9) Len=2048"
"50","10.999122","167.7.2.3","167.7.4.2","UDP","614","2048","49153  >  discard(9) Len=2048"
"54","11.999122","167.7.2.3","167.7.4.2","UDP","614","2048","49153  >  discard(9) Len=2048"
"58","12.999122","167.7.2.3","167.7.4.2","UDP","614","2048","49153  >  discard(9) Len=2048"
"62","13.999122","167.7.2.3","167.7.4.2","UDP","614","2048","49153  >  discard(9) Len=2048"
"66","14.999122","167.7.2.3","167.7.4.2","UDP","614","2048","49153  >  discard(9) Len=2048"
"70","15.999122","167.7.2.3","167.7.4.2","UDP","614","2048","49153  >  discard(9) Len=2048"
"74","16.999122","167.7.2.3","167.7.4.2","UDP","614","2048","49153  >  discard(9) Len=2048"
"78","17.999122","167.7.2.3","167.7.4.2","UDP","614","2048","49153  >  discard(9) Len=2048"
"82","18.999122","167.7.2.3","167.7.4.2","UDP","614","2048","49153  >  discard(9) Len=2048"
"86","19.999122","167.7.2.3","167.7.4.2","UDP","614","2048","49153  >  discard(9) Len=2048"
"90","20.999122","167.7.2.3","167.7.4.2","UDP","614","2048","49153  >  discard(9) Len=2048"
"94","21.999122","167.7.2.3","167.7.4.2","UDP","614","2048","49153  >  discard(9) Len=2048"
"98","22.999122","167.7.2.3","167.7.4.2","UDP","614","2048","49153  >  discard(9) Len=2048"
"102","23.999122","167.7.2.3","167.7.4.2","UDP","614","2048","49153  >  discard(9) Len=2048"
"106","24.999122","167.7.2.3","167.7.4.2","UDP","614","2048","49153  >  discard(9) Len=2048"
"110","25.999122","167.7.2.3","167.7.4.2","UDP","614","2048","49153  >  discard(9) Len=2048"
"114","26.999122","167.7.2.3","167.7.4.2","UDP","614","2048","49153  >  discard(9) Len=2048"
"118","27.999122","167.7.2.3","167.7.4.2","UDP","614","2048","49153  >  discard(9) Len=2048"
"122","28.999122","167.7.2.3","167.7.4.2","UDP","614","2048","49153  >  discard(9) Len=2048"
