"No.","Time","Source","Destination","Protocol","Length","Length","Info"
"59","1.956798","167.7.3.4","167.7.4.2","UDP","2158","2048","49153  >  discard(9) Len=2048"
"70","2.949422","167.7.3.4","167.7.4.2","UDP","2158","2048","49153  >  discard(9) Len=2048"
"88","3.949428","167.7.3.4","167.7.4.2","UDP","2158","2048","49153  >  discard(9) Len=2048"
"104","4.949425","167.7.3.4","167.7.4.2","UDP","2158","2048","49153  >  discard(9) Len=2048"
"120","5.949422","167.7.3.4","167.7.4.2","UDP","2158","2048","49153  >  discard(9) Len=2048"
"135","6.949421","167.7.3.4","167.7.4.2","UDP","2158","2048","49153  >  discard(9) Len=2048"
"151","7.949427","167.7.3.4","167.7.4.2","UDP","2158","2048","49153  >  discard(9) Len=2048"
"167","8.949424","167.7.3.4","167.7.4.2","UDP","2158","2048","49153  >  discard(9) Len=2048"
"183","9.949421","167.7.3.4","167.7.4.2","UDP","2158","2048","49153  >  discard(9) Len=2048"
"198","10.949429","167.7.3.4","167.7.4.2","UDP","2158","2048","49153  >  discard(9) Len=2048"
"214","11.949426","167.7.3.4","167.7.4.2","UDP","2158","2048","49153  >  discard(9) Len=2048"
"230","12.949423","167.7.3.4","167.7.4.2","UDP","2158","2048","49153  >  discard(9) Len=2048"
"231","12.949630","167.7.3.4","167.7.4.2","UDP","2158","2048","49153  >  discard(9) Len=2048"
"232","12.950035","167.7.3.4","167.7.4.2","UDP","2158","2048","49153  >  discard(9) Len=2048"
"233","12.950278","167.7.3.4","167.7.4.2","UDP","2158","2048","49153  >  discard(9) Len=2048"
"234","12.951826","167.7.3.4","167.7.4.2","UDP","2158","2048","49153  >  discard(9) Len=2048"
"235","12.955093","167.7.3.4","167.7.4.2","UDP","2158","2048","49153  >  discard(9) Len=2048"
"236","12.961726","167.7.3.4","167.7.4.2","UDP","2158","2048","49153  >  discard(9) Len=2048"
"249","13.949429","167.7.3.4","167.7.4.2","UDP","2158","2048","49153  >  discard(9) Len=2048"
"264","14.949428","167.7.3.4","167.7.4.2","UDP","2158","2048","49153  >  discard(9) Len=2048"
"280","15.949425","167.7.3.4","167.7.4.2","UDP","2158","2048","49153  >  discard(9) Len=2048"
"296","16.949422","167.7.3.4","167.7.4.2","UDP","2158","2048","49153  >  discard(9) Len=2048"
"312","17.949428","167.7.3.4","167.7.4.2","UDP","2158","2048","49153  >  discard(9) Len=2048"
"328","18.949425","167.7.3.4","167.7.4.2","UDP","2158","2048","49153  >  discard(9) Len=2048"
"343","19.949424","167.7.3.4","167.7.4.2","UDP","2158","2048","49153  >  discard(9) Len=2048"
"359","20.949421","167.7.3.4","167.7.4.2","UDP","2158","2048","49153  >  discard(9) Len=2048"
"375","21.949427","167.7.3.4","167.7.4.2","UDP","2158","2048","49153  >  discard(9) Len=2048"
"391","22.949424","167.7.3.4","167.7.4.2","UDP","2158","2048","49153  >  discard(9) Len=2048"
"406","23.949423","167.7.3.4","167.7.4.2","UDP","2158","2048","49153  >  discard(9) Len=2048"
"422","24.949429","167.7.3.4","167.7.4.2","UDP","2158","2048","49153  >  discard(9) Len=2048"
"438","25.949426","167.7.3.4","167.7.4.2","UDP","2158","2048","49153  >  discard(9) Len=2048"
